Date,Close,High,Low,Open,Adj Close,Volume
8/19/2004,2.49913311,2.591784954,2.390042067,2.490664005,2.49913311,897427216
8/20/2004,2.697638988,2.716816902,2.503118038,2.515820026,2.697638988,458857488
8/23/2004,2.724786997,2.826406002,2.716069937,2.758410931,2.724786997,366857939
8/24/2004,2.611959934,2.77958107,2.579581022,2.770615101,2.611959934,306396159
8/25/2004,2.640104055,2.689918041,2.58730197,2.614201069,2.640104055,184645512
8/26/2004,2.687675953,2.688672066,2.606729031,2.613951921,2.687675953,142572401
8/27/2004,2.643840075,2.705359936,2.632383108,2.692408085,2.643840075,124826132
8/30/2004,2.5407269,2.627402067,2.5407269,2.622170925,2.5407269,104429967
8/31/2004,2.549693108,2.583067894,2.544462919,2.547950029,2.549693108,98825037
9/1/2004,2.496891022,2.564636946,2.482445002,2.557912111,2.496891022,183633734
9/2/2004,2.528273106,2.549693108,2.464262962,2.470489979,2.528273106,303810504
9/3/2004,2.490912914,2.534002066,2.473727942,2.514326096,2.490912914,103538639
9/7/2004,2.530016899,2.540477991,2.480951071,2.515820026,2.530016899,117506800
9/8/2004,2.547950029,2.566132069,2.503118038,2.509094954,2.547950029,100186120
9/9/2004,2.548198938,2.55816102,2.515571117,2.553678036,2.548198938,81620792
9/10/2004,2.623416901,2.654052019,2.523042917,2.530514956,2.623416901,174804764
9/13/2004,2.677464008,2.700129032,2.651561022,2.655795097,2.677464008,157628624
9/14/2004,2.776842117,2.789544106,2.659780025,2.676218987,2.776842117,217608605
9/15/2004,2.789544106,2.845086098,2.744712114,2.753679037,2.789544106,215279909
9/16/2004,2.838609934,2.88418889,2.780827045,2.798012018,2.838609934,186207345
9/17/2004,2.926281929,2.926281929,2.82814908,2.849817991,2.926281929,190350817
9/20/2004,2.972856998,3.0286479,2.908349037,2.912832022,2.972856998,213585582
9/21/2004,2.934998989,2.999258041,2.926779985,2.984065056,2.934998989,145262446
9/22/2004,2.948447943,2.980577946,2.909344912,2.924040079,2.948447943,152344894
9/23/2004,3.009221077,3.054301977,2.9145751,2.959906101,3.009221077,171524515
9/24/2004,2.984563112,3.090914011,2.982820034,3.012208939,2.984563112,183336625
9/27/2004,2.945460081,3.010715008,2.934003115,2.977838039,2.945460081,141994242
9/28/2004,3.159657001,3.173105955,2.994028091,3.0211761,3.159657001,340190355
9/29/2004,3.264763117,3.362895012,3.14396596,3.155672073,3.264763117,613229953
9/30/2004,3.227900982,3.295149088,3.212956905,3.23537302,3.227900982,276468402
10/1/2004,3.30212307,3.343467951,3.210465908,3.257788897,3.30212307,303934969
10/4/2004,3.363890886,3.408972025,3.338237047,3.368623972,3.363890886,261693228
10/5/2004,3.446331978,3.450316906,3.293654919,3.353929043,3.446331978,300887589
10/6/2004,3.414202929,3.448324919,3.387304068,3.425909042,3.414202929,268900140
10/7/2004,3.458287001,3.483941078,3.40100193,3.410218,3.458287001,283643194
10/8/2004,3.430392027,3.478960037,3.412708044,3.455049992,3.430392027,222442656
10/11/2004,3.368872881,3.458537102,3.333754063,3.412209988,3.368872881,210437827
10/12/2004,3.422173023,3.427402973,3.322546005,3.348448992,3.422173023,234419380
10/13/2004,3.509346008,3.575349092,3.488923073,3.569619894,3.509346008,397203256
10/14/2004,3.536742926,3.546207905,3.451065063,3.512085915,3.536742926,209835578
10/15/2004,3.589296103,3.623917103,3.535497904,3.609719992,3.589296103,265150137
10/18/2004,3.715075016,3.71607089,3.517066956,3.566631079,3.715075016,282061287
10/19/2004,3.684689045,3.795773029,3.669994116,3.748450041,3.684689045,363918964
10/20/2004,3.499134064,3.71084094,3.476967096,3.686929941,3.499134064,456613107
10/21/2004,3.720554113,3.739233971,3.5272789,3.596518993,3.720554113,585767401
10/22/2004,4.294652939,4.487430096,4.086681843,4.247579098,4.294652939,1481207196
10/25/2004,4.667504787,4.842598915,4.2976408,4.393531799,4.667504787,1315480331
10/26/2004,4.528028011,4.798016071,4.483195782,4.641104221,4.528028011,895628499
10/27/2004,4.631888866,4.720306873,4.527280807,4.550941944,4.631888866,536262538
10/28/2004,4.814454079,4.841601849,4.622673035,4.649571896,4.814454079,596097978
10/29/2004,4.748202801,4.980082989,4.747206211,4.953681946,4.748202801,849672890
11/1/2004,4.88244915,4.923295975,4.763894081,4.820681095,4.88244915,490828877
11/2/2004,4.853558064,4.962648869,4.815451145,4.950942993,4.853558064,455553149
11/3/2004,4.773856163,5.021179199,4.75094223,4.935998917,4.773856163,557630330
11/4/2004,4.60025692,4.74222517,4.566633224,4.693408012,4.60025692,578544429
11/5/2004,4.217939854,4.540481091,4.198015213,4.532511234,4.217939854,796297573
11/8/2004,4.2976408,4.369622231,4.219184875,4.257293224,4.2976408,449349985
11/9/2004,4.201751232,4.363644123,4.116321087,4.336246967,4.201751232,444226854
11/10/2004,4.180829048,4.296894073,4.14272213,4.250816822,4.180829048,427355853
11/11/2004,4.558413982,4.576595783,4.173605919,4.212460995,4.558413982,601666773
11/12/2004,4.533009052,4.727281094,4.418438911,4.613458157,4.533009052,672354740
11/15/2004,4.604491234,4.690419197,4.452063084,4.494403839,4.604491234,477844390
11/16/2004,4.297391891,4.469995022,4.254802227,4.420928955,4.297391891,839832142
11/17/2004,4.296395779,4.420928955,4.209222794,4.209721088,4.296395779,728034662
11/18/2004,4.172859192,4.344216824,4.127778053,4.241352081,4.172859192,667677273
11/19/2004,4.219184875,4.233631134,4.147453785,4.211712837,4.219184875,352086780
11/22/2004,4.112086773,4.221675873,4.017691135,4.096395969,4.112086773,496582362
11/23/2004,4.172360897,4.254802227,4.146955967,4.183568954,4.172360897,498393124
11/24/2004,4.352684975,4.413705826,4.296645164,4.354178905,4.352684975,613531078
11/26/2004,4.468002796,4.483942986,4.366632938,4.3785882,4.468002796,260175560
11/29/2004,4.509347916,4.556670189,4.421177864,4.492162228,4.509347916,428263241
11/30/2004,4.532511234,4.557916164,4.489422798,4.500879765,4.532511234,309154460
12/1/2004,4.482200146,4.545462132,4.471988201,4.53176403,4.482200146,315743063
12/2/2004,4.468252182,4.520804882,4.447081089,4.480704784,4.468252182,251374696
12/3/2004,4.493158817,4.509596825,4.423419952,4.481951237,4.493158817,235647968
12/6/2004,4.390791893,4.500630856,4.384067059,4.461526871,4.390791893,251097661
12/7/2004,4.269745827,4.388551235,4.247828007,4.383568764,4.269745827,275866153
12/8/2004,4.233631134,4.325786114,4.202497959,4.242846966,4.233631134,302802741
12/9/2004,4.319559097,4.321302891,4.196022034,4.240355968,4.319559097,307307563
12/10/2004,4.275225163,4.35567379,4.266259193,4.319559097,4.275225163,173335277
12/13/2004,4.245337009,4.313333035,4.220430851,4.288177013,4.245337009,193466452
12/14/2004,4.450568199,4.453805923,4.22416687,4.259036064,4.450568199,445198482
